,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
379,2021,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014082P6,CIÊNCIA POLÍTICA,. POLITICAL SCIENCE AND INTERNATIONAL RELATIONS,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
2,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018011P0,EDUCAÇÃO,ACADEMIC MASTER'S DEGREE IN EDUCATION,MESTRADO,4,2010,2010,EM FUNCIONAMENTO
182,2021,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO,NÃO SE APLICA,NÃO SE APLICA,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016169P7,ADMINISTRAÇÃO,ADMINISTRATION,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
328,2021,CIÊNCIAS DA SAÚDE,MEDICINA,SAÚDE MATERNO-INFANTIL,SAÚDE MATERNO-INFANTIL,NÃO SE APLICA,16,MEDICINA II,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010014P8,SAÚDE DO ADULTO,ADULT HEALTH,MESTRADO,3,2005,2005,EM FUNCIONAMENTO
42,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12001015173P6,ENFERMAGEM NO CONTEXTO AMAZÔNICO,ADVANCED CLINICAL PRACTICE IN AMAZONIAN NURSING,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
226,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15002012007P3,BIOTECNOLOGIA APLICADA À AGROPECUÁRIA,AGRICULTURAL APPLIED BIOTECHNOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
356,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017041P1,AGRICULTURA E AMBIENTE,AGRICULTURE AND ENVIRONMENT,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
77,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011010P6,AGRICULTURA NO TRÓPICO ÚMIDO,AGRICULTURE IN HUMID TROPICS,MESTRADO,3,2002,2002,EM FUNCIONAMENTO
112,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,13003011,5077,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,SIM,IFRR;EMBRAPA-CPAF/RR,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13003011002P2,AGROECOLOGIA,AGROECOLOGY,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
389,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014007P4,AGRONOMIA,AGRONOMY,MESTRADO/DOUTORADO,4,2003,2003/2014,EM FUNCIONAMENTO
